2026-04-21 17:38:08 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=561616KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:38:08 | PID=10997 | NAME=brave | CPU=1.00% (limit 80.00) | MEM=541692KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:38:14 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=561616KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:38:20 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=561684KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:38:26 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=561636KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:38:32 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=561696KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:38:39 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=561656KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:38:45 | PID=4672 | NAME=code | CPU=1.50% (limit 80.00) | MEM=562012KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:38:51 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=561780KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:38:57 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=561732KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:39:03 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=561744KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:39:09 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=561904KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:39:15 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=561788KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:39:21 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=561840KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:39:27 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=561792KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:39:33 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=561860KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:39:39 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=561824KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:39:45 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=561876KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:39:51 | PID=4672 | NAME=code | CPU=1.00% (limit 80.00) | MEM=561844KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:39:57 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=561848KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:40:03 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=561912KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:40:09 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=562492KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:40:15 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=562404KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:40:21 | PID=4672 | NAME=code | CPU=1.00% (limit 80.00) | MEM=562612KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:40:27 | PID=4672 | NAME=code | CPU=1.00% (limit 80.00) | MEM=562380KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:40:33 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=563056KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:40:39 | PID=4672 | NAME=code | CPU=1.50% (limit 80.00) | MEM=562904KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:40:45 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=562644KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:40:51 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=562428KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:40:57 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=562436KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:41:03 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=562448KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:41:09 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=562476KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:41:15 | PID=4672 | NAME=code | CPU=1.50% (limit 80.00) | MEM=562656KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
